time_sec,time_nanosec,latitude,longitude,altitude,utm_easting,utm_northing
1729525342,995386332,42.33769333333333,-71.08988500000001,28.7,327835.20103267167,4689386.241298602
1729525343,995639501,42.33769333333333,-71.08988500000001,28.7,327835.20103267167,4689386.241298602
1729525345,1635149,42.33769333333333,-71.08988500000001,28.7,327835.20103267167,4689386.241298602
1729525346,1983064,42.33769333333333,-71.08988500000001,28.7,327835.20103267167,4689386.241298602
1729525347,11215031,42.33769333333333,-71.08988500000001,28.7,327835.20103267167,4689386.241298602
1729525348,278013896,42.33769333333333,-71.08988500000001,28.7,327835.20103267167,4689386.241298602
1729525349,7065063,42.33769333333333,-71.08988500000001,28.8,327835.20103267167,4689386.241298602
1729525349,994533922,42.33769333333333,-71.08988500000001,28.7,327835.20103267167,4689386.241298602
1729525351,45844015,42.33769333333333,-71.08988500000001,28.7,327835.20103267167,4689386.241298602
1729525352,12043352,42.33769666666667,-71.08988666666667,28.7,327835.07282386714,4689386.614814496
1729525352,997669363,42.3377,-71.08988833333333,28.7,327834.94461507973,4689386.988330387
1729525353,992695251,42.33770500000001,-71.08989,28.7,327834.82095481805,4689387.546916939
1729525355,3065880,42.33771,-71.08989166666667,28.7,327834.69729457726,4689388.105503495
1729525356,50756893,42.337714999999996,-71.08989166666667,28.7,327834.7109401219,4689388.660715464
1729525357,84505661,42.337718333333335,-71.08989166666667,28.7,327834.72003715235,4689389.030856776
1729525358,9388501,42.337720000000004,-71.08988833333333,28.6,327834.9991971685,4689389.2091782605
1729525359,10357693,42.33772333333333,-71.08988500000001,28.6,327835.2829056714,4689389.5725704115
1729525359,995710941,42.33772166666666,-71.08988333333333,28.5,327835.4156629158,4689389.384125178
1729525361,41487329,42.337714999999996,-71.08987666666667,28.4,327835.9466919693,4689388.630344274
1729525362,8184589,42.33771166666667,-71.08987166666667,28.4,327836.3495123109,4689388.250079282
1729525363,505200931,42.33770500000001,-71.08986499999999,28.4,327836.8805415585,4689387.496298456
1729525364,62010142,42.33769833333334,-71.08985833333332,28.3,327837.41157092224,4689386.742517673
1729525365,13337209,42.33769,-71.08984833333334,28.3,327838.2126636092,4689385.796917238
1729525366,8350208,42.33768166666667,-71.08984166666667,28.3,327838.7391448525,4689384.858065911
1729525367,55309192,42.337675000000004,-71.08983166666667,28.2,327839.54478632833,4689384.0975362975
1729525368,256669363,42.337669999999996,-71.089825,28.2,327840.08036461927,4689383.52882639
1729525369,8503052,42.33766166666666,-71.08981666666666,28.1,327840.7441521769,4689382.5866007535
1729525370,179418731,42.337650000000004,-71.08981,28.1,327841.26153735816,4689381.27760833
1729525371,72668954,42.33763999999999,-71.08980333333334,28.1,327841.7834710656,4689380.153686609
1729525372,4024065,42.337630000000004,-71.08979833333333,28.1,327842.16809901,4689379.0331393685
1729525373,22405665,42.33762,-71.08979166666667,28.1,327842.6900330544,4689377.909217728
1729525374,82171559,42.33760666666667,-71.08978333333333,28.1,327843.340176731,4689376.411780413
1729525375,99764993,42.33759,-71.08977333333334,28.2,327844.1185302364,4689374.54082747
1729525376,28515173,42.33757333333333,-71.08976333333334,28.3,327844.8968841918,4689372.669874631
1729525377,36390584,42.337555,-71.08975333333333,28.2,327845.67069039925,4689370.613851248
1729525378,39925511,42.337536666666665,-71.08974666666667,28.3,327846.16988480405,4689368.564576667
1729525379,8273444,42.33751666666667,-71.08973833333333,28.4,327846.80183757376,4689366.326857148
1729525380,25246091,42.3375,-71.08973166666667,28.4,327847.3055808584,4689364.462653327
1729525381,13309532,42.337480000000006,-71.08972333333332,28.4,327847.9375344536,4689362.224933946
1729525382,16329097,42.33746166666666,-71.089715,28.4,327848.5740366172,4689360.172285288
1729525383,25133506,42.33744333333334,-71.08970833333333,28.3,327849.07323284296,4689358.123010993
1729525384,5573670,42.33742333333333,-71.08969833333335,28.2,327849.84249412024,4689355.881917549
1729525385,22817215,42.337399999999995,-71.08968666666667,28.2,327850.7399663009,4689353.267308669
1729525386,17351364,42.33737166666666,-71.089675,28.2,327851.62379517755,4689350.097487999
1729525387,12786696,42.33734333333334,-71.089665,28.1,327852.3703183942,4689346.931041698
