time_sec,time_nanosec,latitude,longitude,altitude,utm_easting,utm_northing
1729525632,138476033,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525633,139303719,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525634,212056565,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525635,143027706,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525636,141296471,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525637,165339153,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525638,143301059,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525639,151305248,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525640,159164539,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525641,144288806,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525642,166939361,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525643,161284665,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525644,140766695,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525645,152993575,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525646,144787990,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525647,352641382,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525648,178944709,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525649,188219405,42.33856833333333,-71.09006,11.9,327823.1721048723,4689483.75774577
1729525650,145605417,42.33859833333333,-71.09005666666667,10.0,327823.52859379223,4689487.082268321
1729525651,182612373,42.33861166666667,-71.09006666666667,9.9,327822.7411625617,4689488.583083027
1729525652,197704324,42.338629999999995,-71.09008,9.8,327821.6927711448,4689490.645859686
1729525653,149128907,42.33865000000001,-71.090095,9.6,327820.5116256935,4689492.897082139
1729525654,179499758,42.338673333333325,-71.09011166666666,9.4,327819.20227552205,4689495.521821144
1729525655,218844305,42.3387,-71.09012833333333,9.2,327817.9020246287,4689498.516701807
1729525656,162119480,42.338730000000005,-71.09014833333335,9.0,327816.3362661415,4689501.888474156
1729525657,154702902,42.338766666666665,-71.09016833333334,8.9,327814.78870610823,4689506.000529671
1729525658,198151600,42.33880666666667,-71.09018833333333,8.9,327813.25024657743,4689510.482726987
1729525659,167299790,42.33885,-71.09020666666667,8.9,327811.8581911175,4689515.3316910025
1729525660,173434887,42.338890000000006,-71.09022833333333,8.8,327810.1824327366,4689519.817264284
1729525661,156866825,42.338935000000006,-71.09025,8.9,327808.52032491175,4689524.858050142
1729525662,151679136,42.33898166666666,-71.09027333333333,8.6,327806.7254661887,4689530.087282417
1729525663,179900114,42.33902833333333,-71.09029666666667,8.4,327804.9306104246,4689535.3165152725
1729525664,419225029,42.339075,-71.09032,8.2,327803.1357576194,4689540.545748707
1729525665,163497558,42.33912166666667,-71.09034166666667,8.3,327801.4782104745,4689545.771607388
1729525666,152883992,42.339168333333326,-71.09035999999999,8.1,327800.095271283,4689550.990715843
1729525667,153305679,42.339214999999996,-71.09037666666667,7.9,327798.84963693557,4689556.206449283
1729525668,202671274,42.339258333333326,-71.09039166666666,7.9,327797.73220765346,4689561.048666216
1729525669,212343361,42.33929833333333,-71.09040333333334,8.0,327796.88028524566,4689565.51399112
1729525670,163170721,42.339335,-71.090415,7.8,327796.0192645462,4689569.609174776
1729525671,153002877,42.33936666666667,-71.09042833333334,7.9,327795.0072933913,4689573.152521937
1729525672,164687441,42.33938666666666,-71.09043833333334,9.2,327794.23807861254,4689575.393623341
1729525673,168812422,42.339405000000006,-71.09044666666667,9.6,327793.60161658796,4689577.446278636
1729525674,158993494,42.339418333333334,-71.090455,10.0,327792.9515052991,4689578.943721873
1729525675,180222716,42.33942666666667,-71.09045833333333,10.2,327792.6996506897,4689579.875826467
1729525676,298337153,42.33943333333333,-71.09046,10.4,327792.58054826775,4689580.619484837
1729525677,167280321,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525678,268263763,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525679,173178432,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525680,177074416,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525681,163098744,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525682,191588481,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525683,174707526,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525684,172856547,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525685,167287298,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525686,171493451,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525687,174124185,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525688,462649255,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525689,170282249,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525690,172247057,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525691,181937371,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525692,180657480,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525693,180875203,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525694,180300424,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525695,454759261,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525696,196595985,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525697,170859397,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525698,332370152,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525699,183655465,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525700,297813968,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525701,200500590,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525702,175778942,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525703,318922187,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525704,194300136,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525705,227143142,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525706,263901514,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525707,204839152,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525708,226154857,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525709,311483728,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525710,188158191,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525711,181262531,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525712,190471722,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525713,188641517,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525714,245141898,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525715,180609362,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525716,261476054,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525717,179162488,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525718,199065761,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525719,190732946,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525720,203326422,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525721,189572036,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525722,186107323,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525723,225296575,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525724,202309450,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525725,322303406,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525726,191295811,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525727,241866586,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525728,192034745,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525729,318289915,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525730,257655349,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525731,231925044,42.339443333333335,-71.09046,10.6,327792.6078476958,4689581.7299091015
1729525732,335635973,42.33944833333333,-71.090465,10.1,327792.20959144423,4689582.295247827
1729525733,246028890,42.339463333333335,-71.09047333333334,10.2,327791.5640309147,4689583.977761939
1729525734,222999979,42.33948,-71.09048333333334,10.2,327790.7857187572,4689585.848722398
1729525735,211809406,42.33949833333333,-71.09049166666667,10.2,327790.14925891603,4689587.901378096
1729525736,199150139,42.339515,-71.09050166666665,10.2,327789.37094764743,4689589.772338746
1729525737,205145466,42.339529999999996,-71.09051,10.2,327788.72538861225,4689591.454853179
1729525738,215457194,42.33954000000001,-71.09051500000001,10.2,327788.3407833752,4689592.575404303
1729525739,195310795,42.33954833333334,-71.09052,10.2,327787.9516282289,4689593.510884737
1729525740,202112311,42.339556666666674,-71.09052333333334,10.3,327787.699774946,4689594.442989566
1729525741,196442630,42.33956499999999,-71.09052666666666,10.3,327787.4479217434,4689595.375094406
1729525742,201014560,42.339574999999996,-71.09053166666666,10.4,327787.06331697106,4689596.495645619
1729525743,240076630,42.33958500000001,-71.09053666666667,10.5,327786.6787123346,4689597.616196858
1729525744,203108432,42.339596666666665,-71.090545,10.6,327786.0240545943,4689598.928570164
1729525745,197402560,42.33961166666666,-71.090555,10.9,327785.24119572993,4689600.614460657
1729525746,450156027,42.33962833333333,-71.09057,11.2,327784.05098262546,4689602.495549074
1729525747,201081580,42.339643333333335,-71.09059,11.6,327782.44431529276,4689604.201694206
1729525748,205439583,42.33966166666667,-71.09061166666667,12.0,327780.7094477335,4689606.281356944
1729525749,217119740,42.33968,-71.09063666666665,11.7,327778.6999782577,4689608.367771772
1729525750,267859854,42.33969833333334,-71.09066333333334,12.0,327776.5532085431,4689610.457563075
1729525751,317056901,42.339713333333336,-71.09069333333333,12.0,327774.1227364368,4689612.183965443
1729525752,200338877,42.33972333333333,-71.09072666666665,12.2,327771.40401122044,4689613.361908443
1729525753,196924500,42.33971833333333,-71.09076499999999,12.3,327768.23242740904,4689612.884344081
1729525754,239542196,42.33970166666666,-71.09081666666665,12.3,327763.93057683663,4689611.138294845
1729525755,250364665,42.33967333333333,-71.090895,12.4,327757.40004425944,4689608.150772505
1729525756,256226024,42.33963666666667,-71.09099666666665,12.5,327748.92452852847,4689604.285171767
