time_sec,time_nanosec,q_x,q_y,q_z,q_w,av_x,av_y,av_z,la_x,la_y,la_z,mag_x,mag_y,mag_z
1729525342,599974149,0.00431633327378002,0.000160692421129542,0.998649378639603,0.0517760754378995,-0.000662,-0.000209,0.000404,-0.092,-0.092,-0.092,-0.4048,-0.0726,0.6024
1729525342,648053358,0.00432550880382785,0.000168728937488266,0.998646627489425,0.0518283214867278,-0.000056,0.002066,0.001413,-0.09,-0.09,-0.09,-0.4059,-0.0702,0.6077
1729525342,654942863,0.00432505930834946,0.000159938615124228,0.99864572419622,0.0518457888957832,0.000849,0.001026,-0.000373,-0.105,-0.105,-0.105,-0.4069,-0.069,0.6009
1729525342,687332811,0.0043250662828709,0.00015974989865885,0.998643461046281,0.0518893629862865,0.000082,-0.000188,0.000557,-0.117,-0.117,-0.117,-0.4059,-0.0725,0.601
1729525342,726151899,0.00432597964923972,0.000176990758780312,0.998641193058097,0.0519328614833212,-0.001079,0.000977,-0.000363,-0.096,-0.096,-0.096,-0.4047,-0.0678,0.6051
1729525342,738451175,0.00432643932849709,0.000185554526096654,0.998639378069602,0.0519676828520777,0.000942,0.001317,-0.001035,-0.069,-0.069,-0.069,-0.4059,-0.0737,0.6037
1729525342,755444374,0.00432644903817876,0.000185327994008892,0.998636655679178,0.0520199714163799,0.000782,0.001084,0.000221,-0.091,-0.091,-0.091,-0.4071,-0.0761,0.601
1729525342,776405591,0.00432690469108064,0.000194004983478826,0.998636200026276,0.0520286484058499,-0.00074,0.001359,-0.000928,-0.083,-0.083,-0.083,-0.407,-0.0702,0.6036
1729525342,810819120,0.00432736756772335,0.000202530911494214,0.998633927168205,0.0520721843191852,0.001547,0.00068,-0.000725,-0.107,-0.107,-0.107,-0.4059,-0.0725,0.601
1729525342,826093707,0.00432691822463913,0.000193702908073175,0.998632565307783,0.0520983662378829,-0.00067,-0.001132,0.00087,-0.085,-0.085,-0.085,-0.4081,-0.0701,0.6022
1729525342,862689944,0.00432647164797571,0.000184799417162629,0.998630292787796,0.0521419775115538,-0.000632,-0.000309,0.000184,-0.087,-0.087,-0.087,-0.4082,-0.076,0.5955
1729525342,875357242,0.00432693342468464,0.000193363072113416,0.998628470431638,0.0521767984953879,0.001228,-0.000518,0.001088,-0.077,-0.077,-0.077,-0.407,-0.0725,0.5929
1729525342,903727708,0.00432648614874405,0.00018445961630438,0.998626194486436,0.0522204095904407,-0.000744,-0.000436,0.000821,-0.077,-0.077,-0.077,-0.4059,-0.0749,0.6024
1729525342,930703381,0.00434392666416428,0.000183282781518997,0.998622927744741,0.0522814010053359,0.000171,-0.002437,0.000813,-0.112,-0.112,-0.112,-0.4092,-0.0678,0.6048
