time_sec,time_nanosec,q_x,q_y,q_z,q_w,av_x,av_y,av_z,la_x,la_y,la_z,mag_x,mag_y,mag_z
1729525626,943443827,0.0295522794520573,0.00394656940140304,0.0641122277122015,0.997497222866774,0.000854,-0.000859,0.000792,0.054,0.054,0.054,0.0095,-0.0785,0.6405
1729525626,979321585,0.0295429795892326,0.00395497246727211,0.0641207068493779,0.997496920046829,0.000641,0.001944,0.002609,0.079,0.079,0.079,0.0084,-0.0785,0.6431
1729525626,996275850,0.0295243794169213,0.00397177812477786,0.0641376655489939,0.997496313705719,-0.000377,-0.00088,-0.000674,0.042,0.042,0.042,0.0095,-0.0832,0.6392
1729525627,32202783,0.0295150443726915,0.00398043828390874,0.0641548499038079,0.997495450365848,0.001713,-0.000124,0.001192,0.048,0.048,0.048,0.0085,-0.0761,0.6458
1729525627,71000472,0.0295317537110699,0.0039912935678307,0.0641893394753827,0.997492693605381,0.000315,-0.002435,0.002721,0.049,0.049,0.049,0.0107,-0.0797,0.6338
1729525627,79695030,0.0295409154235434,0.00398392241185307,0.0642156790368215,0.997490756470452,0.000454,0.000705,0.001942,0.042,0.042,0.042,0.0096,-0.0761,0.6418
1729525627,106712710,0.0295409154235434,0.00398392241185307,0.0642156790368215,0.997490756470452,-0.001059,-0.003072,0.00055,0.033,0.033,0.033,0.0095,-0.0797,0.6405
1729525627,118321814,0.0295408111145751,0.00398469578984501,0.06424179326175,0.997489074966072,-0.000307,0.003027,0.000541,0.024,0.024,0.024,0.0118,-0.0762,0.6406
1729525627,150709402,0.0295506392254521,0.00396784707911073,0.0642422788747686,0.997488819744813,-0.000336,-0.001727,0.001878,0.029,0.029,0.029,0.0096,-0.0773,0.6391
1729525627,183561918,0.0295686449292943,0.00396000562393292,0.06423376522179,0.997488865600983,0.000203,0.001218,0.001257,0.021,0.021,0.021,0.0095,-0.0797,0.6445
1729525627,199207181,0.0295615220262475,0.00393410499858043,0.0642606947184013,0.997487444706779,-0.001087,-0.001172,0.000306,0.04,0.04,0.04,0.0107,-0.0785,0.6419
1729525627,224729534,0.0295614533586597,0.00393462094387247,0.0642781041487704,0.997486322994151,0.000365,-0.000444,-0.000473,0.013,0.013,0.013,0.0096,-0.0738,0.6431
1729525627,254341899,0.0295527486472442,0.00393406001144549,0.064278138482368,0.997486580928516,-0.001794,-0.001817,-0.000261,0.017,0.017,0.017,0.0107,-0.0762,0.6419
1729525627,271010079,0.0295434475476733,0.00394246154109342,0.0642866174271025,0.997486276859875,0.000869,0.0023,0.00176,0.058,0.058,0.058,0.0118,-0.0762,0.6433
1729525627,314167461,0.0295260725169513,0.0039410818639137,0.0642779815094121,0.99748735330757,-0.001096,-0.000103,0.000832,0.061,0.061,0.061,0.0107,-0.0773,0.6432
1729525627,332670938,0.0295261412973089,0.00394056653613286,0.0642605720610606,0.997488475018058,0.00124,-0.001544,0.001068,0.051,0.051,0.051,0.0096,-0.075,0.6431
1729525627,355445287,0.0295342841923758,0.00394983197404842,0.0642602776454659,0.997488216272026,0.000271,-0.000934,-0.000124,0.025,0.025,0.025,0.0084,-0.0797,0.6431
1729525627,404770253,0.0295353392176623,0.00393293814569278,0.064278207134878,0.997487096569357,0.001681,-0.000563,0.001302,0.049,0.049,0.049,0.012,-0.0715,0.6271
1729525627,409843844,0.0295271964797944,0.00392367256052112,0.0642785013932738,0.997487355168133,0.000812,-0.000307,0.001925,0.039,0.039,0.039,0.0084,-0.0797,0.6445
1729525627,431313008,0.0295359011979673,0.00392423349611549,0.0642784671503238,0.997487097456752,0.001741,0.002562,0.001343,0.044,0.044,0.044,0.0107,-0.0785,0.6419
1729525627,501161885,0.0295370251518294,0.00390682419606501,0.0642789871665299,0.997487099003654,0.001037,-0.000627,0.002577,0.005,0.005,0.005,0.0106,-0.0797,0.6406
1729525627,505897668,0.0295462578177987,0.00389893832758535,0.0642879178597026,0.997486280881169,0.000744,0.002632,0.00016,0.002,0.002,0.002,0.0107,-0.0785,0.6419
1729525627,515244666,0.0295560188591502,0.00388260591284246,0.0643058135288634,0.997484901874166,0.000525,-0.000487,0.000546,0.017,0.017,0.017,0.0096,-0.0761,0.6378
